Exclude (Y/N),Experiment,Date,JulianDate,PrePost,Plot,Strip,Coordinates,Farm_Coordinates,PT_Height(mm),NDVI_mean,GNDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,CLRE_mean,SRre_mean,unique_id,Dry Matter %,Residula,Biomass (kg/ha),Total Biomass (kg/ha)
N,TB,5/5/2025,125,Pre,14.2,14,"POLYGON ((-92.2708324 38.90550814, -92.2708324 38.90551551, -92.27090289 38.9055153, -92.27090282 38.90550785, -92.2708324 38.90550814))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",253.6,0.746,0.683,1.119,0.855,0.557,2.519,3.519,14.2_14,0.2,1056,2439.23,3495.23
N,TB,5/5/2025,125,Pre,14.2,15,"POLYGON ((-92.27083524 38.90549136, -92.27083551 38.90548372, -92.27090383 38.90548272, -92.27090428 38.905492, -92.27083524 38.90549136))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",261.62,0.737,0.667,1.106,0.849,0.551,2.45,3.45,14.2_15,0.2,1056,1886.07,2942.07
N,TB,5/5/2025,125,Pre,14.2,16,"POLYGON ((-92.27100271 38.9054849, -92.27100262 38.90549154, -92.27092857 38.90549127, -92.27092839 38.90548454, -92.27100271 38.9054849))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",249.79,0.728,0.663,1.091,0.842,0.523,2.191,3.191,14.2_16,0.22,1056,2241.95,3297.95
N,TB,5/5/2025,125,Pre,14.2,17,"POLYGON ((-92.27100307 38.90545843, -92.27100289 38.90545188, -92.27092957 38.90545061, -92.27092975 38.90545843, -92.27100307 38.90545843))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",184.82,0.724,0.662,1.086,0.84,0.524,2.206,3.206,14.2_17,0.23,1056,996.32,2052.32
Maybe,TB,5/5/2025,125,Pre,14.2,18,"POLYGON ((-92.27090483 38.90545861, -92.27090428 38.90545061, -92.27083315 38.90545006, -92.27083369 38.90545825, -92.27090483 38.90545861))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",196.18,0.724,0.659,1.086,0.84,0.536,2.309,3.309,14.2_18,0.23,1056,3010.45,4066.45
N,TB,5/5/2025,125,Pre,14.2,19,"POLYGON ((-92.27090364 38.90542523, -92.27090328 38.9054175, -92.2708336 38.90541804, -92.27083406 38.90542541, -92.27090364 38.90542523))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",193.67,0.714,0.66,1.071,0.833,0.529,2.251,3.251,14.2_19,0.22,1056,1750.88,2806.88
N,TB,5/5/2025,125,Pre,14.2,20,"POLYGON ((-92.27100225 38.90542596, -92.27100216 38.90541832, -92.27092984 38.90541813, -92.27092993 38.9054255, -92.27100225 38.90542596))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",185.84,0.713,0.65,1.069,0.832,0.523,2.191,3.191,14.2_20,0.23,1056,1506.98,2562.98
Y,TB,5/5/2025,125,Pre,14.2,21,"POLYGON ((-92.27093266 38.90539257, -92.2709323 38.90538675, -92.27100489 38.90538602, -92.27100544 38.90539385, -92.27093266 38.90539257))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",187.06,0.698,0.635,1.046,0.822,0.505,2.04,3.04,14.2_21,0.2,1056,1389.58,2445.58
N,TB,5/5/2025,125,Pre,14.2,22,"POLYGON ((-92.27083424 38.90539203, -92.27083387 38.9053853, -92.27090483 38.90538584, -92.27090537 38.90539221, -92.27083424 38.90539203))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",235.13,0.711,0.663,1.067,0.831,0.537,2.322,3.322,14.2_22,0.22,1056,2103.14,3159.14
N,TB,5/5/2025,125,Pre,14.3,13,"POLYGON ((-92.27008822 38.90571235, -92.27008819 38.90571971, -92.27001726 38.90571859, -92.27001712 38.90571123, -92.27008822 38.90571235))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",208.12,0.712,0.652,1.068,0.832,0.525,2.207,3.207,14.3_13,0.22,1056,1842.37,2898.37
N,TB,5/5/2025,125,Pre,14.3,14,"POLYGON ((-92.26998867 38.90571166, -92.26998871 38.90571899, -92.26991859 38.90571917, -92.26991862 38.9057119, -92.26998867 38.90571166))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",167.51,0.713,0.648,1.069,0.832,0.518,2.152,3.152,14.3_14,0.24,1056,1491.65,2547.65
N,TB,5/5/2025,125,Pre,14.3,15,"POLYGON ((-92.26998921 38.90567891, -92.26998911 38.90568613, -92.26991884 38.90568637, -92.26991886 38.90567897, -92.26998921 38.90567891))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",163.87,0.71,0.652,1.065,0.831,0.518,2.149,3.149,14.3_15,0.24,1056,1232.01,2288.01
N,TB,5/5/2025,125,Pre,14.3,16,"POLYGON ((-92.27008844 38.90567949, -92.2700885 38.90568686, -92.27001683 38.90568593, -92.27001701 38.9056784, -92.27008844 38.90567949))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",186.68,0.717,0.659,1.075,0.835,0.543,2.379,3.379,14.3_16,0.24,1056,1644.89,2700.89
N,TB,5/5/2025,125,Pre,14.3,17,"POLYGON ((-92.27008838 38.90564661, -92.27008849 38.90565393, -92.27001714 38.90565274, -92.27001724 38.90564546, -92.27008838 38.90564661))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",263.93,0.709,0.655,1.064,0.83,0.5,1.999,2.999,14.3_17,0.21,1056,2247.01,3303.01
N,TB,5/5/2025,125,Pre,14.3,18,"POLYGON ((-92.26998999 38.90564598, -92.26998969 38.90565327, -92.26991901 38.90565344, -92.26991905 38.90564604, -92.26998999 38.90564598))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",213.32,0.696,0.655,1.044,0.821,0.519,2.155,3.155,14.3_18,0.22,1056,2193.2,3249.2
N,TB,5/5/2025,125,Pre,14.3,19,"POLYGON ((-92.26999064 38.90561305, -92.26999059 38.90562033, -92.26991888 38.90562051, -92.26991864 38.9056132, -92.26999064 38.90561305))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",128.95,0.706,0.661,1.059,0.828,0.506,2.052,3.052,14.3_19,0.27,1056,733.76,1789.76
N,TB,5/5/2025,125,Pre,14.3,20,"POLYGON ((-92.27008854 38.90561367, -92.27008867 38.90562101, -92.27001756 38.90561999, -92.27001772 38.90561252, -92.27008854 38.90561367))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",150.68,0.712,0.656,1.068,0.832,0.512,2.098,3.098,14.3_20,0.27,1056,830.46,1886.46
N,TB,5/5/2025,125,Pre,14.3,21,"POLYGON ((-92.27008907 38.90558097, -92.27008868 38.90558818, -92.27001764 38.90558698, -92.27001767 38.90557972, -92.27008907 38.90558097))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",201.05,0.705,0.65,1.058,0.827,0.508,2.064,3.064,14.3_21,0.22,1056,1413.54,2469.54
N,TB,5/5/2025,125,Pre,14.3,22,"POLYGON ((-92.26999106 38.90558004, -92.26999094 38.90558737, -92.2699185 38.90558766, -92.26991857 38.9055803, -92.26999106 38.90558004))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",171.85,0.706,0.655,1.059,0.828,0.504,2.035,3.035,14.3_22,0.24,1056,1145.34,2201.34
N,TB,5/5/2025,125,Pre,14.4,13,"POLYGON ((-92.27024852 38.90551662, -92.27024842 38.90550928, -92.27031789 38.90550954, -92.27031803 38.90551685, -92.27024852 38.90551662))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",228.93,0.728,0.668,1.092,0.843,0.551,2.456,3.456,14.4_13,0.21,1056,1704.12,2760.12
N,TB,5/5/2025,125,Pre,14.4,14,"POLYGON ((-92.27014945 38.90551721, -92.27014976 38.9055099, -92.27021744 38.90550963, -92.27021745 38.90551702, -92.27014945 38.90551721))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",182.15,0.713,0.65,1.069,0.832,0.521,2.177,3.177,14.4_14,0.23,1056,1344.96,2400.96
Y,TB,5/5/2025,125,Pre,14.4,15,"POLYGON ((-92.27014984 38.90548414, -92.27014967 38.90547685, -92.2702173 38.90547668, -92.27021684 38.90548415, -92.27014984 38.90548414))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",193.39,0.705,0.651,1.057,0.827,0.525,2.214,3.214,14.4_15,0.26,1056,2002.69,3058.69
N,TB,5/5/2025,125,Pre,14.4,16,"POLYGON ((-92.2702482 38.90548379, -92.27024806 38.90547647, -92.27031778 38.90547666, -92.27031769 38.90548385, -92.2702482 38.90548379))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",180.44,0.716,0.662,1.074,0.835,0.543,2.374,3.374,14.4_16,0.25,1056,1563.36,2619.36
N,TB,5/5/2025,125,Pre,14.4,17,"POLYGON ((-92.27024843 38.90545085, -92.27024858 38.90544353, -92.27031771 38.90544369, -92.2703176 38.90545107, -92.27024843 38.90545085))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",208.34,0.71,0.66,1.065,0.83,0.536,2.306,3.306,14.4_17,0.22,1056,1687.59,2743.59
Y,TB,5/5/2025,125,Pre,14.4,18,"POLYGON ((-92.27014969 38.90545116, -92.27014987 38.90544383, -92.27021746 38.90544387, -92.27021732 38.90545109, -92.27014969 38.90545116))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",175.68,0.712,0.649,1.068,0.832,0.537,2.317,3.317,14.4_18,0.24,1056,1549.16,2605.16
N,TB,5/5/2025,125,Pre,14.4,19,"POLYGON ((-92.2701491 38.9054183, -92.27014896 38.90541098, -92.27021791 38.90541095, -92.27021786 38.90541827, -92.2701491 38.9054183))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",180.61,0.713,0.645,1.07,0.832,0.523,2.197,3.197,14.4_19,0.24,1056,1805.31,2861.31
N,TB,5/5/2025,125,Pre,14.4,20,"POLYGON ((-92.27024921 38.90541811, -92.27024902 38.90541078, -92.27031784 38.90541089, -92.27031788 38.90541828, -92.27024921 38.90541811))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",227.18,0.706,0.65,1.059,0.827,0.521,2.172,3.172,14.4_20,0.21,1056,2105.86,3161.86
N,TB,5/5/2025,125,Pre,14.4,21,"POLYGON ((-92.27024883 38.90538523, -92.27024857 38.90537789, -92.27031802 38.90537793, -92.27031788 38.90538536, -92.27024883 38.90538523))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",188.41,0.701,0.638,1.052,0.824,0.514,2.117,3.117,14.4_21,0.25,1056,1877.73,2933.73
N,TB,5/5/2025,125,Pre,14.4,22,"POLYGON ((-92.27014876 38.90538544, -92.27014867 38.90537802, -92.2702183 38.90537792, -92.27021808 38.90538528, -92.27014876 38.90538544))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",196.63,0.686,0.638,1.029,0.814,0.523,2.19,3.19,14.4_22,0.24,1056,1780.71,2836.71
Maybe,TB,5/5/2025,125,Pre,28.1,1,"POLYGON ((-92.27077485 38.90573495, -92.27077507 38.90572767, -92.27070493 38.90572799, -92.27070449 38.90573533, -92.27077485 38.90573495))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",371.54,0.707,0.657,1.06,0.828,0.517,2.138,3.138,28.1_1,0.19,1056,5746.6,6802.6
N,TB,5/5/2025,125,Pre,28.1,2,"POLYGON ((-92.27067513 38.90573521, -92.27067528 38.90572785, -92.27060509 38.90572776, -92.2706049 38.90573499, -92.27067513 38.90573521))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",460.55,0.7,0.648,1.049,0.823,0.498,1.986,2.986,28.1_2,0.2,1056,5390.14,6446.14
N,TB,5/5/2025,125,Pre,28.1,3,"POLYGON ((-92.27060504 38.90571854, -92.27060485 38.90571157, -92.27067512 38.90571161, -92.270675 38.90571884, -92.27060504 38.90571854))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",386.93,0.7,0.648,1.049,0.823,0.498,1.986,2.986,28.1_3,0.2,1056,4694.68,5750.68
N,TB,5/5/2025,125,Pre,28.1,4,"POLYGON ((-92.27070548 38.90571904, -92.27070585 38.90571161, -92.27077521 38.9057113, -92.27077502 38.90571853, -92.27070548 38.90571904))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",388.38,0.707,0.657,1.06,0.828,0.517,2.138,3.138,28.1_4,0.24,1056,4802.23,5858.23
N,TB,5/5/2025,125,Pre,28.1,5,"POLYGON ((-92.27077531 38.90570212, -92.2707754 38.90569472, -92.27070648 38.90569507, -92.27070611 38.90570244, -92.27077531 38.90570212))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",334.88,0.722,0.667,1.083,0.839,0.53,2.259,3.259,28.1_5,0.24,1056,3956.99,5012.99
N,TB,5/5/2025,125,Pre,28.1,6,"POLYGON ((-92.27067499 38.90570227, -92.27067483 38.90569483, -92.27060495 38.90569483, -92.27060498 38.9057021, -92.27067499 38.90570227))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",453.72,0.717,0.658,1.075,0.835,0.526,2.216,3.216,28.1_6,0.17,1056,4412.38,5468.38
N,TB,5/5/2025,125,Pre,28.1,7,"POLYGON ((-92.27060523 38.9056861, -92.27060511 38.90567862, -92.27067473 38.9056786, -92.27067494 38.90568587, -92.27060523 38.9056861))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",360.83,0.724,0.669,1.085,0.84,0.54,2.35,3.35,28.1_7,0.22,1056,4426.62,5482.62
N,TB,5/5/2025,125,Pre,28.1,8,"POLYGON ((-92.27070678 38.90568606, -92.27070706 38.90567875, -92.27077538 38.90567834, -92.27077529 38.90568563, -92.27070678 38.90568606))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",366.43,0.72,0.662,1.08,0.837,0.54,2.346,3.346,28.1_8,0.2,1056,3254.52,4310.52
N,TB,5/5/2025,125,Pre,28.1,9,"POLYGON ((-92.27077556 38.90566907, -92.27077561 38.90566182, -92.27070698 38.90566222, -92.27070727 38.90566949, -92.27077556 38.90566907))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",376.9,0.72,0.662,1.08,0.837,0.54,2.346,3.346,28.1_9,0.22,1056,3536.55,4592.55
N,TB,5/5/2025,125,Pre,28.1,10,"POLYGON ((-92.27067455 38.90566935, -92.27067443 38.90566202, -92.27060509 38.90566199, -92.27060492 38.90566936, -92.27067455 38.90566935))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",445.46,0.724,0.669,1.085,0.84,0.54,2.35,3.35,28.1_10,0.19,1056,4675.2,5731.2
N,TB,5/5/2025,125,Pre,28.1,11,"POLYGON ((-92.27060497 38.90565283, -92.27060514 38.90564553, -92.27067442 38.90564553, -92.27067449 38.90565303, -92.27060497 38.90565283))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",447.97,0.724,0.674,1.086,0.84,0.542,2.363,3.363,28.1_11,0.2,1056,6005.96,7061.96
N,TB,5/5/2025,125,Pre,28.1,12,"POLYGON ((-92.27070696 38.90565307, -92.27070695 38.90564578, -92.27077556 38.90564534, -92.27077545 38.90565262, -92.27070696 38.90565307))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",457.67,0.725,0.67,1.088,0.841,0.539,2.338,3.338,28.1_12,0.18,1056,5525.53,6581.53
Maybe,TB,5/5/2025,125,Pre,28.1,13,"POLYGON ((-92.2707757 38.90563615, -92.27077537 38.90562884, -92.27070677 38.90562922, -92.2707069 38.90563654, -92.2707757 38.90563615))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",494.17,0.725,0.67,1.088,0.841,0.539,2.338,3.338,28.1_13,0.21,1056,3573.34,4629.34
N,TB,5/5/2025,125,Pre,28.1,14,"POLYGON ((-92.27067456 38.90563645, -92.27067465 38.90562913, -92.27060514 38.90562877, -92.27060511 38.90563613, -92.27067456 38.90563645))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",487.75,0.724,0.674,1.086,0.84,0.542,2.363,3.363,28.1_14,0.21,1056,6336.02,7392.02
N,TB,5/5/2025,125,Pre,28.1,15,"POLYGON ((-92.27060523 38.90561982, -92.27060541 38.90561254, -92.27067471 38.90561274, -92.27067457 38.90562007, -92.27060523 38.90561982))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",278.3,0.737,0.681,1.106,0.849,0.547,2.413,3.413,28.1_15,0.25,1056,3112.16,4168.16
Y,TB,5/5/2025,125,Pre,28.1,16,"POLYGON ((-92.27070669 38.90562019, -92.27070648 38.90561292, -92.27077527 38.90561254, -92.27077548 38.90561985, -92.27070669 38.90562019))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",405.91,0.729,0.672,1.094,0.843,0.543,2.372,3.372,28.1_16,0.22,1056,4380.75,5436.75
