Exclude (Y/N),Experiment,Date,JulianDate,PrePost,Plot,Strip,Coordinates,Farm_Coordinates,PT_Height(mm),NDVI_mean,GNDVI_mean,SAVI_mean,MSAVI_mean,NDRE_mean,CLRE_mean,SRre_mean,unique_id,Dry Matter,Residual,Biomass (kg/Ha),Total Biomass (kg/ha)
N,TB,4/15/2025,105,Pre,14.1,11,"POLYGON ((-92.27106225 38.90557041, -92.27106189 38.90556318, -92.27113205 38.9055633, -92.27113241 38.90557053, -92.27106225 38.90557041))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",112.51,0.749,0.705,1.123,0.856,0.566,2.607,3.607,14.1_11,0.21,1056,616.45,1672.45
N,TB,4/15/2025,105,Pre,14.1,12,"POLYGON ((-92.27116109 38.90557017, -92.27116097 38.90556306, -92.27123243 38.90556271, -92.27123196 38.90556982, -92.27116109 38.90557017))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",142.63,0.746,0.699,1.119,0.855,0.576,2.72,3.72,14.1_12,0.2,1056,954.3,2010.3
N,TB,4/15/2025,105,Pre,14.2,1,"POLYGON ((-92.27100258 38.90553251, -92.27100266 38.90552523, -92.27092738 38.90552505, -92.27092756 38.90553207, -92.27100258 38.90553251))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",202.3,0.775,0.697,1.162,0.873,0.564,2.588,3.588,14.2_1,0.19,1056,2183.6,3239.6
N,TB,4/15/2025,105,Pre,14.2,2,"POLYGON ((-92.27090276 38.90552434, -92.27090249 38.90553171, -92.27083262 38.90553198, -92.27083254 38.90552478, -92.27090276 38.90552434))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",229.46,0.766,0.695,1.149,0.867,0.572,2.67,3.67,14.2_2,0.19,1056,2569.25,3625.25
N,TB,4/15/2025,105,Pre,14.2,3,"POLYGON ((-92.27083231 38.90549905, -92.27083236 38.90549172, -92.27090289 38.90549154, -92.27090276 38.90549892, -92.27083231 38.90549905))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",151.99,0.769,0.703,1.153,0.869,0.548,2.422,3.422,14.2_3,0.22,1056,1252.21,2308.21
N,TB,4/15/2025,105,Pre,14.2,4,"POLYGON ((-92.27092769 38.90549936, -92.27092742 38.90549225, -92.27100298 38.90549225, -92.27100315 38.90549967, -92.27092769 38.90549936))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",125.07,0.771,0.703,1.157,0.871,0.566,2.604,3.604,14.2_4,0.21,1056,898.66,1954.66
N,TB,4/15/2025,105,Pre,14.2,5,"POLYGON ((-92.27100342 38.90546661, -92.27100342 38.90545954, -92.27092858 38.90545927, -92.27092827 38.90546656, -92.27100342 38.90546661))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",230.16,0.773,0.691,1.159,0.872,0.564,2.583,3.583,14.2_5,0.19,1056,2176.12,3232.12
N,TB,4/15/2025,105,Pre,14.2,6,"POLYGON ((-92.27090256 38.90546598, -92.27090302 38.90545865, -92.27083242 38.90545878, -92.27083249 38.90546592, -92.27090256 38.90546598))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",261.84,0.765,0.692,1.148,0.867,0.549,2.435,3.435,14.2_6,0.18,1056,2874.64,3930.64
N,TB,4/15/2025,105,Pre,14.2,7,"POLYGON ((-92.27083282 38.90543272, -92.27083269 38.90542592, -92.27090329 38.90542572, -92.27090309 38.90543278, -92.27083282 38.90543272))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",139.39,0.764,0.699,1.145,0.866,0.563,2.574,3.574,14.2_7,0.22,1056,852.46,1908.46
N,TB,4/15/2025,105,Pre,14.2,8,"POLYGON ((-92.27092936 38.90543348, -92.27092956 38.90542648, -92.27100215 38.90542698, -92.27100225 38.90543368, -92.27092936 38.90543348))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",109.18,0.771,0.708,1.157,0.871,0.57,2.656,3.656,14.2_8,0.24,1056,680.67,1736.67
N,TB,4/15/2025,105,Pre,14.2,9,"POLYGON ((-92.2710028 38.90540113, -92.27100305 38.90539389, -92.27093086 38.90539384, -92.27093076 38.90540073, -92.2710028 38.90540113))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",250.43,0.762,0.69,1.144,0.865,0.555,2.49,3.49,14.2_9,0.16,1056,3054.93,4110.93
N,TB,4/15/2025,105,Pre,14.2,10,"POLYGON ((-92.27090346 38.90539988, -92.27090366 38.90539279, -92.27083356 38.90539319, -92.27083326 38.90540018, -92.27090346 38.90539988))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",236.89,0.751,0.697,1.127,0.858,0.548,2.425,3.425,14.2_10,0.15,1056,2538.73,3594.73
N,TB,4/15/2025,105,Pre,14.2,11,"POLYGON ((-92.27083366 38.90536719, -92.27083346 38.90536029, -92.27090376 38.90535999, -92.27090366 38.90536719, -92.27083366 38.90536719))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",139.41,0.739,0.665,1.108,0.85,0.54,2.346,3.346,14.2_11,0.22,1056,1102.18,2158.18
N,TB,4/15/2025,105,Pre,14.2,12,"POLYGON ((-92.27093276 38.90536789, -92.27093276 38.90536089, -92.27100335 38.90536089, -92.27100345 38.90536789, -92.27093276 38.90536789))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",193.3,0.747,0.676,1.12,0.855,0.532,2.275,3.275,14.2_12,0.22,1056,1346.06,2402.06
N,TB,4/15/2025,105,Pre,14.3,1,"POLYGON ((-92.27008785 38.90573625, -92.27008794 38.90572879, -92.27001727 38.9057279, -92.27001745 38.90573483, -92.27008785 38.90573625))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",111.27,0.736,0.664,1.104,0.848,0.52,2.168,3.168,14.3_1,0.16,1056,447.86,1503.86
N,TB,4/15/2025,105,Pre,14.3,2,"POLYGON ((-92.26998847 38.90573545, -92.2699883 38.90572825, -92.2699187 38.90572843, -92.26991852 38.90573554, -92.26998847 38.90573545))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",109.69,0.749,0.68,1.123,0.856,0.557,2.519,3.519,14.3_2,0.17,1056,542.53,1598.53
N,TB,4/15/2025,105,Pre,14.3,3,"POLYGON ((-92.26991888 38.90570265, -92.2699187 38.90569572, -92.26998874 38.90569554, -92.26998892 38.90570248, -92.26991888 38.90570265))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",122.03,0.755,0.689,1.132,0.86,0.558,2.528,3.528,14.3_3,0.24,1056,723.03,1779.03
N,TB,4/15/2025,105,Pre,14.3,4,"POLYGON ((-92.27001718 38.9057023, -92.27001701 38.90569501, -92.27008794 38.90569608, -92.27008776 38.90570301, -92.27001718 38.9057023))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",177.8,0.744,0.674,1.115,0.853,0.555,2.494,3.494,14.3_4,0.21,1056,1167.78,2223.78
N,TB,4/15/2025,105,Pre,14.3,5,"POLYGON ((-92.27008812 38.90567048, -92.27008829 38.90566319, -92.2700171 38.90566212, -92.27001701 38.90566923, -92.27008812 38.90567048))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",179.81,0.757,0.686,1.136,0.862,0.567,2.618,3.618,14.3_5,0.2,1056,1046.19,2102.19
N,TB,4/15/2025,105,Pre,14.3,6,"POLYGON ((-92.26998945 38.90566968, -92.26998936 38.90566257, -92.26991888 38.90566265, -92.26991905 38.90566977, -92.26998945 38.90566968))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",111.9,0.755,0.689,1.132,0.86,0.562,2.563,3.563,14.3_6,0.22,1056,942.29,1998.29
N,TB,4/15/2025,105,Pre,14.3,7,"POLYGON ((-92.26991888 38.90563688, -92.26991896 38.90562977, -92.26999034 38.90562968, -92.26998972 38.90563679, -92.26991888 38.90563688))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",75.44,0.757,0.693,1.136,0.862,0.564,2.586,3.586,14.3_7,0.23,1056,342.16,1398.16
N,TB,4/15/2025,105,Pre,14.3,8,"POLYGON ((-92.27001736 38.90563634, -92.27001754 38.90562923, -92.27008829 38.90563021, -92.27008838 38.90563759, -92.27001736 38.90563634))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",130.62,0.766,0.692,1.148,0.867,0.56,2.548,3.548,14.3_8,0.23,1056,989.89,2045.89
N,TB,4/15/2025,105,Pre,14.3,9,"POLYGON ((-92.27008838 38.90560452, -92.27008856 38.90559732, -92.27001772 38.90559635, -92.27001772 38.90560355, -92.27008838 38.90560452))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",89.15,0.77,0.697,1.156,0.87,0.565,2.597,3.597,14.3_9,0.24,1056,618.87,1674.87
N,TB,4/15/2025,105,Pre,14.3,10,"POLYGON ((-92.26999087 38.90560363, -92.2699907 38.90559679, -92.26991843 38.90559679, -92.2699187 38.90560399, -92.26999087 38.90560363))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",74.83,0.693,0.623,1.04,0.819,0.473,1.793,2.793,14.3_10,0.17,1056,376.26,1432.26
N,TB,4/15/2025,105,Pre,14.3,11,"POLYGON ((-92.26992954 38.90558043, -92.26992883 38.90557137, -92.27000101 38.90557172, -92.27000154 38.90558079, -92.26992954 38.90558043))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",110.26,0.721,0.655,1.082,0.838,0.515,2.123,3.123,14.3_11,0.21,1056,924.39,1980.39
N,TB,4/15/2025,105,Pre,14.3,12,"POLYGON ((-92.27002767 38.90557972, -92.27002749 38.90557155, -92.27009807 38.90557261, -92.27009878 38.90558079, -92.27002767 38.90557972))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",112.32,0.751,0.684,1.127,0.858,0.56,2.547,3.547,14.3_12,0.22,1056,1303.41,2359.41
Y,TB,4/15/2025,105,Pre,14.4,1,"POLYGON ((-92.27031797 38.90553279, -92.2703178 38.9055255, -92.270249 38.90552568, -92.27024989 38.90553279, -92.27031797 38.90553279))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",281.45,0.764,0.7,1.146,0.866,0.571,2.658,3.658,14.4_1,0.24,1056,5876.96,6932.96
Y,TB,4/15/2025,105,Pre,14.4,2,"POLYGON ((-92.2702322 38.90554212, -92.27023202 38.90553395, -92.270165 38.90553324, -92.27016482 38.90554319, -92.2702322 38.90554212))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",245.32,0.762,0.693,1.143,0.865,0.561,2.552,3.552,14.4_2,0.24,1056,4862.72,5918.72
N,TB,4/15/2025,105,Pre,14.4,3,"POLYGON ((-92.27016145 38.90550924, -92.27016109 38.90550124, -92.27023167 38.9055007, -92.27023167 38.90550995, -92.27016145 38.90550924))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",120.43,0.77,0.705,1.155,0.87,0.574,2.697,3.697,14.4_3,0.22,1056,1444.5,2500.5
N,TB,4/15/2025,105,Pre,14.4,4,"POLYGON ((-92.27026278 38.90550906, -92.2702626 38.90550088, -92.27033264 38.90550017, -92.27033246 38.90550959, -92.27026278 38.90550906))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",105.82,0.765,0.701,1.148,0.867,0.577,2.726,3.726,14.4_4,0.21,1056,1312.7,2368.7
Y,TB,4/15/2025,105,Pre,14.4,5,"POLYGON ((-92.27032802 38.90547662, -92.27032784 38.90546826, -92.27025967 38.90546817, -92.27026002 38.90547626, -92.27032802 38.90547662))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",196.05,0.763,0.697,1.144,0.866,0.565,2.6,3.6,14.4_5,0.21,1056,3789.99,4845.99
N,TB,4/15/2025,105,Pre,14.4,6,"POLYGON ((-92.27023176 38.90547706, -92.27023202 38.90546791, -92.27016002 38.90546764, -92.27016065 38.90547635, -92.27023176 38.90547706))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",131.83,0.766,0.696,1.149,0.867,0.561,2.556,3.556,14.4_6,0.23,1056,1462.38,2518.38
N,TB,4/15/2025,105,Pre,14.4,7,"POLYGON ((-92.27016527 38.90544337, -92.27016491 38.90543484, -92.27022918 38.90543528, -92.27022971 38.90544373, -92.27016527 38.90544337))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",122.56,0.76,0.683,1.14,0.864,0.551,2.451,3.451,14.4_7,0.26,1056,1625.82,2681.82
N,TB,4/15/2025,105,Pre,14.4,8,"POLYGON ((-92.27025798 38.90544239, -92.27025744 38.90543519, -92.2703298 38.90543519, -92.27033033 38.90544319, -92.27025798 38.90544239))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",159.87,0.758,0.69,1.137,0.862,0.57,2.647,3.647,14.4_8,0.2,1056,1866.21,2922.21
Y,TB,4/15/2025,105,Pre,14.4,9,"POLYGON ((-92.27032829 38.90541093, -92.27032802 38.90540186, -92.27026064 38.90540151, -92.27026135 38.90541057, -92.27032829 38.90541093))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",205.96,0.747,0.687,1.12,0.855,0.56,2.55,3.55,14.4_9,0.25,1056,5036.67,6092.67
Y,TB,4/15/2025,105,Pre,14.4,10,"POLYGON ((-92.27022936 38.90540204, -92.27022971 38.90541111, -92.27015878 38.90541084, -92.2701586 38.90540177, -92.27022936 38.90540204))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",230.18,0.755,0.682,1.132,0.86,0.558,2.522,3.522,14.4_10,0.3,1056,4958.68,6014.68
N,TB,4/15/2025,105,Pre,14.4,11,"POLYGON ((-92.2701626 38.90537786, -92.27016207 38.90536933, -92.27023033 38.90536951, -92.27023069 38.90537822, -92.2701626 38.90537786))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",137.23,0.741,0.686,1.111,0.851,0.52,2.171,3.171,14.4_11,0.23,1056,1830.4,2886.4
N,TB,4/15/2025,105,Pre,14.4,12,"POLYGON ((-92.27026171 38.90537769, -92.27026118 38.90536906, -92.27032944 38.90536951, -92.27032909 38.90537813, -92.27026171 38.90537769))","POLYGON ((-92.27126447977226 38.905762369582106, -92.27126447977226 38.90536179063761, -92.26988422615567 38.90536179063761, -92.26988422615567 38.905762369582106, -92.27126447977226 38.905762369582106))",121.77,0.722,0.667,1.083,0.839,0.528,2.239,3.239,14.4_12,0.23,1056,1648.08,2704.08
